,ACB,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,PNJ,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
60,33960.0,35970.5,56400.0,39126.0,81700.0,87400.0,29300.0,26720.0,50300.0,35364.0,38550.0,104500.0,90749.0,81145.0,82200.0,53800.0,95800.0,12100.0,156900.0,31388.8,29600.0,50800.0,26592.6,78967.0,80735.0,105600.0,115300.0,89100.0,39889.3,31700.0
61,34100.0,34743.8,55500.0,38351.0,81900.0,86100.0,28500.0,26160.0,51600.0,35364.0,37900.0,103100.0,90017.0,79084.0,83200.0,52500.0,95800.0,11900.0,160000.0,31590.4,28900.0,50100.0,26111.1,78813.0,79213.0,103556.0,113800.0,92200.0,39889.3,30800.0
62,34650.0,35772.6,57300.0,40986.0,83500.0,87000.0,29150.0,27560.0,53100.0,36800.0,39400.0,106000.0,91148.0,80076.0,87400.0,54000.0,96900.0,12050.0,164100.0,33674.1,30500.0,52600.0,27111.1,79587.0,80659.0,104889.0,115500.0,92000.0,39833.8,31500.0
63,34100.0,35535.2,60000.0,40676.0,83800.0,89500.0,29750.0,27280.0,53600.0,36900.0,39300.0,106900.0,91880.0,79313.0,91400.0,55000.0,97000.0,12200.0,165500.0,35623.3,30800.0,52700.0,26888.9,78967.0,83627.0,106667.0,115700.0,92500.0,39389.3,31950.0
64,35350.0,35535.2,61200.0,40366.0,83200.0,88700.0,31800.0,27800.0,53200.0,36900.0,39300.0,106500.0,91747.0,79389.0,92500.0,54800.0,96000.0,12050.0,168500.0,35623.3,30100.0,52300.0,26666.7,79587.0,85681.0,108178.0,117000.0,92900.0,36944.8,32850.0
65,34700.0,35851.8,60300.0,39126.0,83100.0,91900.0,32050.0,27040.0,51800.0,36900.0,38700.0,104200.0,91148.0,79008.0,92000.0,56000.0,95100.0,12050.0,169000.0,33842.1,29200.0,50700.0,26370.4,80516.0,83703.0,105867.0,116500.0,91800.0,37111.5,32800.0
66,34900.0,36326.6,62000.0,39126.0,82600.0,93900.0,33950.0,26880.0,51400.0,36900.0,39900.0,103000.0,92479.0,78015.0,91700.0,56700.0,95500.0,12400.0,166000.0,34595.7,29400.0,50200.0,26222.2,80671.0,82942.0,104000.0,116500.0,91000.0,36667.1,32850.0
67,35000.0,36524.5,61000.0,39669.0,83800.0,92700.0,34500.0,27400.0,52100.0,37350.0,40550.0,106500.0,93810.0,78626.0,92100.0,56500.0,98000.0,12300.0,171200.0,34595.7,29650.0,51000.0,26296.3,84000.0,85605.0,104356.0,116000.0,92100.0,36944.8,32500.0
68,34750.0,35614.3,59700.0,38971.0,85600.0,93000.0,34500.0,26920.0,51200.0,37350.0,40650.0,108700.0,97003.0,83206.0,90500.0,58600.0,98100.0,12500.0,170000.0,33568.1,29850.0,50400.0,26111.1,82529.0,85225.0,104356.0,114000.0,90600.0,36944.8,31800.0
69,35650.0,35614.3,59900.0,40211.0,85400.0,94900.0,34350.0,27480.0,51700.0,37300.0,42000.0,108500.0,97136.0,86641.0,88400.0,58600.0,98500.0,12550.0,167100.0,33910.6,30200.0,50900.0,26259.3,83303.0,84844.0,104445.0,115000.0,90600.0,36667.1,31500.0
70,35800.0,35930.9,58800.0,40831.0,84900.0,93900.0,33500.0,27400.0,51400.0,36850.0,41900.0,106800.0,95806.0,85496.0,86100.0,56500.0,98800.0,12300.0,170200.0,34184.6,29750.0,51100.0,26481.5,84929.0,84692.0,103911.0,115100.0,90000.0,38333.7,31500.0
71,36200.0,35772.6,58000.0,41373.0,84700.0,95800.0,34800.0,27400.0,50600.0,36200.0,42000.0,106500.0,95806.0,87786.0,89000.0,56000.0,98100.0,12150.0,171900.0,34390.2,29000.0,50900.0,26407.4,85703.0,85301.0,104445.0,115500.0,88700.0,38111.5,32000.0
72,36350.0,36049.6,58300.0,41683.0,85200.0,98000.0,34950.0,28240.0,50700.0,37100.0,42100.0,106400.0,95606.0,90916.0,95000.0,56500.0,97400.0,12150.0,171900.0,36787.9,29500.0,51600.0,26592.6,87174.0,85301.0,104445.0,115900.0,89700.0,37889.3,31600.0
73,36700.0,37118.0,60000.0,42148.0,85700.0,95000.0,36300.0,28800.0,52400.0,37150.0,43100.0,108900.0,96804.0,91603.0,94600.0,57100.0,98100.0,12150.0,171100.0,36924.9,30200.0,53600.0,27888.9,87174.0,87888.0,103733.0,115500.0,89200.0,37778.2,31800.0
74,36450.0,37118.0,59100.0,41760.0,88600.0,93000.0,35700.0,28720.0,51800.0,37500.0,43450.0,108500.0,97802.0,92366.0,95900.0,56200.0,98600.0,12050.0,169600.0,37404.4,31000.0,53500.0,27629.6,88258.0,90247.0,104889.0,120000.0,91000.0,37167.1,31700.0
75,35700.0,37395.0,58400.0,40831.0,88000.0,93000.0,35000.0,28400.0,51500.0,37550.0,43350.0,111400.0,101128.0,92366.0,93400.0,54800.0,100100.0,12050.0,169100.0,37678.5,30600.0,52700.0,27222.2,90116.0,89790.0,105778.0,121500.0,90400.0,37611.5,31750.0
76,35950.0,37434.6,59000.0,40598.0,88900.0,94200.0,36400.0,29160.0,52800.0,37700.0,43450.0,113500.0,100529.0,91603.0,95900.0,55500.0,100200.0,12100.0,167700.0,39391.1,31000.0,53300.0,27555.6,90116.0,89182.0,105422.0,120700.0,90900.0,39111.5,31800.0
77,36100.0,37236.8,59100.0,40831.0,91900.0,96600.0,36200.0,29760.0,52300.0,37600.0,43450.0,113900.0,104322.0,90840.0,95900.0,55400.0,99500.0,12000.0,169200.0,39665.1,31500.0,54300.0,27963.0,88954.0,89790.0,104445.0,120600.0,90100.0,40056.0,31700.0
78,37950.0,36920.2,58300.0,40366.0,92700.0,92000.0,36300.0,29920.0,51200.0,36800.0,43100.0,111600.0,110775.0,87786.0,95000.0,54500.0,99300.0,11700.0,166500.0,38706.0,32600.0,58000.0,29111.1,87948.0,90171.0,102222.0,118300.0,89200.0,40389.3,29500.0
79,36000.0,34822.9,55900.0,37577.0,87000.0,85800.0,33800.0,28000.0,48000.0,36100.0,40100.0,109000.0,103124.0,89313.0,94400.0,51700.0,99600.0,11450.0,164000.0,36034.3,30350.0,54000.0,27074.1,86709.0,83931.0,99556.0,119300.0,87000.0,39444.9,29500.0
80,36550.0,36010.0,54500.0,39050.0,90500.0,91500.0,34650.0,29200.0,49900.0,36700.0,42100.0,116000.0,110309.0,90076.0,96200.0,53200.0,106500.0,11400.0,162500.0,37335.9,31050.0,56600.0,27777.8,87793.0,89029.0,101333.0,121800.0,89800.0,39278.2,30900.0
81,36200.0,36247.5,54900.0,38600.0,89800.0,93000.0,33950.0,28760.0,49000.0,36750.0,42100.0,119800.0,114767.0,84580.0,94700.0,52300.0,105600.0,11350.0,162500.0,37267.4,30200.0,56600.0,27963.0,85935.0,87508.0,98667.0,120300.0,88400.0,38500.4,29900.0
82,35200.0,35535.2,53100.0,37600.0,89700.0,91700.0,31600.0,28000.0,47300.0,36600.0,41850.0,116900.0,117428.0,79008.0,94400.0,50800.0,105500.0,10800.0,160000.0,36034.3,29100.0,56600.0,27407.4,85006.0,85605.0,96533.0,118900.0,87000.0,38222.6,28000.0
83,32750.0,33240.0,50300.0,35000.0,86100.0,88000.0,29400.0,27040.0,44950.0,36200.0,29800.0,119900.0,117495.0,80229.0,90900.0,49650.0,102100.0,10150.0,158800.0,33910.6,28400.0,53500.0,25963.0,82916.0,82181.0,92445.0,120000.0,86300.0,35555.9,27000.0
84,32900.0,33556.6,50700.0,34600.0,87000.0,91500.0,30000.0,27160.0,45500.0,36300.0,29800.0,115000.0,116430.0,79924.0,87000.0,51000.0,99200.0,10550.0,157000.0,35486.3,28700.0,53900.0,25777.8,80051.0,83322.0,91556.0,119900.0,84300.0,35555.9,27850.0
85,31750.0,33714.9,50000.0,33700.0,85200.0,91300.0,29300.0,26120.0,45000.0,36800.0,28850.0,116200.0,110775.0,79389.0,87500.0,50900.0,96000.0,10450.0,160000.0,34938.2,27400.0,51000.0,24444.5,78813.0,83322.0,91556.0,117000.0,85000.0,34167.0,28250.0
86,32750.0,33794.0,50500.0,35000.0,85400.0,90500.0,30500.0,26560.0,46500.0,36350.0,29300.0,115000.0,111174.0,79389.0,87200.0,50900.0,95100.0,10700.0,159900.0,36787.9,28800.0,52100.0,24963.0,79355.0,83931.0,90667.0,114800.0,85200.0,35555.9,28000.0
87,33600.0,33635.8,51000.0,34650.0,86800.0,90000.0,31350.0,26760.0,46750.0,36950.0,29100.0,120500.0,111840.0,79847.0,90200.0,51100.0,96000.0,10600.0,158000.0,36171.3,28450.0,51600.0,25111.1,79355.0,82942.0,94045.0,115400.0,85900.0,35833.7,27700.0
