,ACB,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,PNJ,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
218,"32,950.0","46,700.0","52,300.0","35,100.0","88,800.0","108,600.0","32,500","28,900.0","44,000.0","51,700.0","30,200.0","149,200","134,000","80,200","90,000.0","54,100.0","94,400.0","17,000.0","150,000","45,700.0","33,800.0","48,850.0","39,600.0","87,100","78,600","95,000","123,600","83,000.0","33,950.0","33,600.0"
219,"33,450.0","47,350.0","52,500.0","35,550.0","88,200.0","107,400.0","32,400","29,200.0","43,300.0","50,800.0","31,800.0","151,000","133,200","80,000","89,800.0","54,800.0","95,500.0","16,650.0","148,000","44,550.0","34,600.0","49,800.0","40,000.0","89,200","79,400","95,500","122,000","82,600.0","34,300.0","33,100.0"
220,"34,350.0","46,900.0","51,100.0","35,650.0","85,300.0","107,100.0","30,150","29,000.0","40,700.0","49,100.0","32,100.0","143,000","129,900","78,100","85,400.0","54,300.0","96,900.0","15,500.0","145,000","41,450.0","33,300.0","50,300.0","37,750.0","93,000","76,200","95,000","120,500","81,000.0","33,450.0","31,000.0"
221,"34,850.0","49,000.0","51,600.0","37,000.0","86,500.0","109,500.0","31,250","30,050.0","43,250.0","49,900.0","32,600.0","153,000","131,000","79,000","90,000.0","54,400.0","97,000.0","16,550.0","145,000","42,800.0","34,700.0","51,900.0","39,750.0","95,800","81,000","96,000","121,300","79,200.0","34,900.0","33,150.0"
222,"35,450.0","48,100.0","53,000.0","37,650.0","86,000.0","112,200.0","31,000","30,700.0","43,450.0","50,400.0","33,300.0","147,000","131,900","79,400","86,800.0","57,000.0","101,000.0","16,300.0","143,700","42,450.0","35,550.0","52,400.0","39,200.0","94,500","81,200","96,400","121,100","79,700.0","35,900.0","33,900.0"
223,"34,900.0","47,600.0","53,800.0","36,900.0","85,900.0","111,800.0","30,700","30,800.0","42,150.0","50,100.0","33,000.0","142,000","131,500","79,000","87,500.0","57,000.0","101,000.0","16,400.0","148,800","43,400.0","35,400.0","51,900.0","40,200.0","91,000","81,000","96,500","121,100","83,100.0","35,450.0","34,200.0"
224,"34,550.0","47,950.0","54,400.0","36,900.0","89,500.0","109,000.0","31,200","30,900.0","42,200.0","50,000.0","33,700.0","143,000","132,500","79,900","90,800.0","56,100.0","104,000.0","16,800.0","148,700","45,050.0","35,550.0","52,800.0","41,950.0","89,000","80,300","97,000","121,900","83,100.0","36,650.0","34,950.0"
225,"34,700.0","47,400.0","55,500.0","36,300.0","89,500.0","114,700.0","32,200","31,100.0","43,050.0","50,600.0","33,800.0","147,900","133,900","80,000","91,000.0","58,700.0","107,300.0","17,850.0","152,100","45,850.0","35,600.0","52,800.0","41,700.0","92,400","82,200","91,200","130,400","83,500.0","36,300.0","35,500.0"
226,"35,750.0","47,350.0","55,400.0","36,500.0","90,600.0","114,000.0","33,000","31,400.0","45,550.0","50,400.0","33,800.0","145,500","136,300","79,200","89,000.0","58,800.0","105,000.0","17,900.0","154,800","45,650.0","35,850.0","53,800.0","42,000.0","92,000","81,200","87,300","131,500","82,000.0","37,300.0","35,500.0"
227,"35,600.0","48,400.0","55,900.0","36,350.0","90,700.0","110,000.0","33,100","31,600.0","47,300.0","53,100.0","33,300.0","146,600","137,000","79,000","90,800.0","59,400.0","103,300.0","17,800.0","153,800","45,700.0","35,050.0","53,600.0","41,500.0","90,800","81,500","85,700","135,000","82,800.0","37,100.0","35,900.0"
228,"35,550.0","48,400.0","55,400.0","36,750.0","92,000.0","112,000.0","33,600","31,500.0","47,000.0","52,800.0","33,750.0","149,600","136,300","78,500","90,000.0","60,500.0","103,300.0","18,550.0","157,000","45,100.0","34,750.0","53,600.0","41,200.0","91,300","80,100","84,000","133,000","82,700.0","36,700.0","36,000.0"
229,"35,700.0","47,900.0","55,100.0","36,800.0","91,600.0","111,000.0","33,950","31,200.0","47,150.0","52,800.0","33,950.0","149,800","135,300","78,100","90,100.0","59,400.0","104,800.0","18,300.0","159,600","45,100.0","35,300.0","53,700.0","42,850.0","90,000","79,700","81,700","132,800","82,000.0","36,600.0","34,600.0"
230,"34,000.0","44,750.0","54,200.0","34,600.0","91,000.0","116,000.0","33,300","29,200.0","46,200.0","52,700.0","32,000.0","151,600","132,000","78,000","89,500.0","60,200.0","104,600.0","17,700.0","167,900","43,600.0","32,850.0","51,500.0","40,000.0","86,000","78,100","81,800","140,000","81,100.0","35,000.0","33,000.0"
231,"34,500.0","46,200.0","54,800.0","34,950.0","91,100.0","117,400.0","33,350","29,500.0","46,000.0","53,500.0","32,700.0","160,500","133,300","79,000","90,000.0","59,000.0","105,500.0","18,100.0","170,000","44,200.0","33,500.0","51,800.0","40,750.0","87,000","80,000","83,700","139,200","81,200.0","35,950.0","34,000.0"
232,"34,200.0","45,150.0","57,400.0","34,650.0","91,300.0","114,500.0","33,750","29,250.0","46,000.0","53,800.0","32,650.0","158,100","132,900","78,100","90,200.0","59,000.0","106,300.0","18,200.0","168,400","44,900.0","33,600.0","51,600.0","40,400.0","87,000","80,000","82,900","139,200","80,400.0","35,650.0","34,300.0"
233,"34,300.0","46,000.0","56,900.0","34,900.0","92,800.0","118,700.0","34,000","29,750.0","46,500.0","54,900.0","33,200.0","163,000","134,500","79,000","92,000.0","60,000.0","107,900.0","18,600.0","170,500","45,000.0","33,900.0","52,200.0","41,150.0","87,500","80,800","83,100","141,600","80,800.0","36,300.0","34,450.0"
